Ticker,QoQ Net Profit Growth (%),QoQ Compared Quarters,YoY Net Profit Growth (%),YoY Compared Years,QoQ Revenue Growth (%),YoY Revenue Growth (%),Recovered from Harsh Condition,Error
TEXRAIL,Need 2 quarters,N/A,Need 2 years,N/A,1.51,45.79,No,No harsh condition recovery
TCS,Need 2 quarters,N/A,Need 2 years,N/A,0.79,5.99,No,No harsh condition recovery
JLHL,Need 2 quarters,N/A,Need 2 years,N/A,1.55,17.94,No,No harsh condition recovery
MOTHERSON,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.88,No,No harsh condition recovery
PRAJIND,Need 2 quarters,N/A,Need 2 years,N/A,0.82,Not ascending,No,No harsh condition recovery
AGI,Need 2 quarters,N/A,Need 2 years,N/A,7.14,Not ascending,No,No harsh condition recovery
PSB,10.99,"Dec 2024, Mar 2025",70.76,"Mar 2024, Mar 2025",7.78,18.43,No,No harsh condition recovery
BRIGADE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,3.61,No,No harsh condition recovery
ORCHPHARMA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.13,No,No harsh condition recovery
UTKARSHBNK,-101.77,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,18.47,No,No harsh condition recovery
V2RETAIL,Need 2 quarters,N/A,Need 2 years,N/A,55.53,44.38,No,No harsh condition recovery
JASH,Need 2 quarters,N/A,Need 2 years,N/A,65.75,42.44,No,No harsh condition recovery
FINEORG,Need 2 quarters,N/A,Need 2 years,N/A,17.41,6.88,No,No harsh condition recovery
HARSHA,Need 2 quarters,N/A,Need 2 years,N/A,10.04,1.15,No,No harsh condition recovery
GODREJIND,Need 2 quarters,N/A,Need 2 years,N/A,19.79,18.41,No,No harsh condition recovery
TMB,Not ascending,"Dec 2024, Mar 2025",10.35,"Mar 2024, Mar 2025",0.83,9.14,No,No harsh condition recovery
THOMASCOOK,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.52,No,No harsh condition recovery
KESORAMIND,Need 2 quarters,N/A,Need 2 years,N/A,3.08,Not ascending,No,No harsh condition recovery
AJANTPHARM,Need 2 quarters,N/A,Need 2 years,N/A,2.09,10.43,No,No harsh condition recovery
BFINVEST,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.63,No,No harsh condition recovery
NAVINFLUOR,Need 2 quarters,N/A,Need 2 years,N/A,15.68,13.75,No,No harsh condition recovery
INDOSTAR,Need 2 quarters,N/A,Need 2 years,N/A,0.0,0.57,No,No harsh condition recovery
MIDHANI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
NELCO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
EXIDEIND,Need 2 quarters,N/A,Need 2 years,N/A,7.92,2.79,No,No harsh condition recovery
SENORES,Need 2 quarters,N/A,Need 2 years,N/A,10.68,85.12,No,No harsh condition recovery
DCMSHRIRAM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.57,No,No harsh condition recovery
CHAMBLFERT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
THYROCARE,Need 2 quarters,N/A,Need 2 years,N/A,12.65,20.1,No,No harsh condition recovery
JKTYRE,Need 2 quarters,N/A,Need 2 years,N/A,2.31,Not ascending,No,No harsh condition recovery
DELHIVERY,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.7,No,No harsh condition recovery
PCBL,Need 2 quarters,N/A,Need 2 years,N/A,3.83,30.9,No,No harsh condition recovery
INOXINDIA,Need 2 quarters,N/A,Need 2 years,N/A,10.48,15.47,No,No harsh condition recovery
IRFC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.91,No,No harsh condition recovery
NETWEB,Need 2 quarters,N/A,Need 2 years,N/A,24.25,58.7,No,No harsh condition recovery
ASKAUTOLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,20.23,No,No harsh condition recovery
IFBIND,Need 2 quarters,N/A,Need 2 years,N/A,4.18,9.24,No,No harsh condition recovery
GOLDIAM,Need 2 quarters,N/A,Need 2 years,N/A,104.38,21.06,No,No harsh condition recovery
ITDC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,0.75,No,No harsh condition recovery
SUNTV,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
PNBHOUSING,13.87,"Dec 2024, Mar 2025",28.38,"Mar 2024, Mar 2025",4.12,8.72,No,No harsh condition recovery
HPL,Need 2 quarters,N/A,Need 2 years,N/A,25.77,16.36,No,No harsh condition recovery
WESTLIFE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.14,No,No harsh condition recovery
LAOPALA,Need 2 quarters,N/A,Need 2 years,N/A,0.0,Not ascending,No,No harsh condition recovery
AKUMS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
LUPIN,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,13.48,No,No harsh condition recovery
SBFC,6.82,"Dec 2024, Mar 2025",45.57,"Mar 2024, Mar 2025",8.08,28.16,No,No harsh condition recovery
SYRMA,Need 2 quarters,N/A,Need 2 years,N/A,7.13,20.07,No,No harsh condition recovery
NAUKRI,Need 2 quarters,N/A,Need 2 years,N/A,3.0,8.71,No,No harsh condition recovery
J&KBANK,10.02,"Dec 2024, Mar 2025",17.56,"Mar 2024, Mar 2025",0.09,11.84,No,No harsh condition recovery
ZYDUSLIFE,Need 2 quarters,N/A,Need 2 years,N/A,23.89,18.9,No,No harsh condition recovery
ABSLAMC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,3.0,No,No harsh condition recovery
EIHOTEL,Need 2 quarters,N/A,Need 2 years,N/A,3.38,9.24,No,No harsh condition recovery
REDINGTON,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.18,No,No harsh condition recovery
GAEL,Need 2 quarters,N/A,Need 2 years,N/A,12.02,Not ascending,No,No harsh condition recovery
OWAIS,Need 2 quarters,N/A,Need 2 years,N/A,2.86,166.25,No,No harsh condition recovery
TATACHEM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
GICRE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,2.84,No,No harsh condition recovery
GLAND,Need 2 quarters,N/A,Need 2 years,N/A,2.96,Not ascending,No,No harsh condition recovery
ANANDRATHI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,24.87,No,No harsh condition recovery
CEIGALL,Need 2 quarters,N/A,Need 2 years,N/A,21.78,13.47,No,No harsh condition recovery
GREENPLY,Need 2 quarters,N/A,Need 2 years,N/A,5.7,14.13,No,No harsh condition recovery
LT,Need 2 quarters,N/A,Need 2 years,N/A,15.04,15.66,No,No harsh condition recovery
JYOTISTRUC,Need 2 quarters,N/A,Need 2 years,N/A,28.04,2.44,No,No harsh condition recovery
AHL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No financial data tables with valid data found for ticker AHL
MANKIND,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,18.11,No,No harsh condition recovery
GALLANTT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.56,No,No harsh condition recovery
SARDAEN,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,20.04,No,No harsh condition recovery
SPECTRUM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.76,No,No harsh condition recovery
GSPL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,0.43,No,No harsh condition recovery
JISLJALEQS,Need 2 quarters,N/A,Need 2 years,N/A,28.51,Not ascending,No,No harsh condition recovery
SBGLP,Need 2 quarters,N/A,Need 2 years,N/A,575.16,Not ascending,No,No harsh condition recovery
PETRONET,Need 2 quarters,N/A,Need 2 years,N/A,0.73,Not ascending,No,No harsh condition recovery
MAHLIFE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,75.47,No,No harsh condition recovery
ECLERX,Need 2 quarters,N/A,Need 2 years,N/A,5.15,15.04,No,No harsh condition recovery
GNFC,Need 2 quarters,N/A,Need 2 years,N/A,8.21,Not ascending,No,No harsh condition recovery
HAVELLS,Need 2 quarters,N/A,Need 2 years,N/A,33.85,17.15,No,No harsh condition recovery
POLYMED,Need 2 quarters,N/A,Need 2 years,N/A,4.01,21.45,No,No harsh condition recovery
CAMS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,25.07,No,No harsh condition recovery
JKLAKSHMI,Need 2 quarters,N/A,Need 2 years,N/A,21.31,Not ascending,No,No harsh condition recovery
JSWHL,Need 2 quarters,N/A,Need 2 years,N/A,0.82,45.88,No,No harsh condition recovery
DLF,Need 2 quarters,N/A,Need 2 years,N/A,104.58,24.38,No,No harsh condition recovery
EMBDL,Need 2 quarters,N/A,Need 2 years,N/A,13.01,125.36,No,No harsh condition recovery
HYUNDAI,Need 2 quarters,N/A,Need 2 years,N/A,7.76,Not ascending,No,No harsh condition recovery
LICHSGFIN,Not ascending,"Dec 2024, Mar 2025",14.35,"Mar 2024, Mar 2025",3.34,3.05,No,No harsh condition recovery
TANLA,Need 2 quarters,N/A,Need 2 years,N/A,2.4,2.55,No,No harsh condition recovery
SUMMITSEC,Need 2 quarters,N/A,Need 2 years,N/A,881.0,16.67,No,No harsh condition recovery
HNDFDS,Need 2 quarters,N/A,Need 2 years,N/A,6.02,29.36,No,No harsh condition recovery
PRUDENT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,34.14,No,No harsh condition recovery
NAM-INDIA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.58,No,No harsh condition recovery
MFSL,Need 2 quarters,N/A,Need 2 years,N/A,38.7,Not ascending,No,No harsh condition recovery
SAGILITY,Need 2 quarters,N/A,Need 2 years,N/A,7.91,17.16,No,No harsh condition recovery
INOXGREEN,Need 2 quarters,N/A,Need 2 years,N/A,10.78,Not ascending,No,No harsh condition recovery
TEGA,Need 2 quarters,N/A,Need 2 years,N/A,31.05,9.78,No,No harsh condition recovery
TORNTPOWER,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,7.29,No,No harsh condition recovery
PRSMJOHNSN,Need 2 quarters,N/A,Need 2 years,N/A,15.43,Not ascending,No,No harsh condition recovery
LMW,Need 2 quarters,N/A,Need 2 years,N/A,4.96,Not ascending,No,No harsh condition recovery
VARROC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.33,No,No harsh condition recovery
ARVINDFASN,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.48,No,No harsh condition recovery
INDOCO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
BANSALWIRE,Need 2 quarters,N/A,Need 2 years,N/A,1.62,42.21,No,No harsh condition recovery
ACE,Need 2 quarters,N/A,Need 2 years,N/A,15.59,9.88,No,No harsh condition recovery
BIKAJI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.58,No,No harsh condition recovery
GSFC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.14,No,No harsh condition recovery
NIITLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,18.15,No,No harsh condition recovery
KAYNES,Need 2 quarters,N/A,Need 2 years,N/A,48.87,50.8,No,No harsh condition recovery
AUBANK,N/A,N/A,Need 2 years,N/A,N/A,Need 2 years,No,No harsh condition recovery
M&MFIN,Not ascending,"Dec 2024, Mar 2025",16.37,"Mar 2024, Mar 2025",1.86,15.66,No,No harsh condition recovery
RTNINDIA,Need 2 quarters,N/A,Need 2 years,N/A,6.66,33.87,No,No harsh condition recovery
RUSTOMJEE,Need 2 quarters,N/A,Need 2 years,N/A,26.08,Not ascending,No,No harsh condition recovery
MEDPLUS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.75,No,No harsh condition recovery
SANATHAN,Need 2 quarters,N/A,Need 2 years,N/A,0.13,Not ascending,No,No harsh condition recovery
NUVAMA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,25.48,No,No harsh condition recovery
HONDAPOWER,Need 2 quarters,N/A,Need 2 years,N/A,31.86,Not ascending,No,No harsh condition recovery
CARRARO,Need 2 quarters,N/A,Need 2 years,N/A,1.81,4.44,No,No harsh condition recovery
ABREL,Need 2 quarters,N/A,Need 2 years,N/A,93.63,Not ascending,No,No harsh condition recovery
PAISALO,Not ascending,"Dec 2024, Mar 2025",11.73,"Mar 2024, Mar 2025",Not ascending,17.53,No,No harsh condition recovery
CARERATING,Need 2 quarters,N/A,Need 2 years,N/A,14.58,21.08,No,No harsh condition recovery
NEWGEN,Need 2 quarters,N/A,Need 2 years,N/A,12.86,19.53,No,No harsh condition recovery
INDOTECH,Need 2 quarters,N/A,Need 2 years,N/A,16.38,21.43,No,No harsh condition recovery
SUNPHARMA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.41,No,No harsh condition recovery
DBREALTY,Need 2 quarters,N/A,Need 2 years,N/A,316.82,77.03,No,No harsh condition recovery
DOMS,Need 2 quarters,N/A,Need 2 years,N/A,1.6,24.46,No,No harsh condition recovery
MANGLMCEM,Need 2 quarters,N/A,Need 2 years,N/A,14.84,Not ascending,No,No harsh condition recovery
HINDWAREAP,Need 2 quarters,N/A,Need 2 years,N/A,17.68,Not ascending,No,No harsh condition recovery
BATAINDIA,Need 2 quarters,N/A,Need 2 years,N/A,9.8,0.55,No,No harsh condition recovery
GODREJCP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.9,No,No harsh condition recovery
SAMMAANCAP,7.28,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",4.46,0.51,No,No harsh condition recovery
SERVOTECH,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,90.93,No,No harsh condition recovery
SUNDRMFAST,Need 2 quarters,N/A,Need 2 years,N/A,6.25,5.1,No,No harsh condition recovery
DPABHUSHAN,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,42.22,No,No harsh condition recovery
MRPL,Need 2 quarters,N/A,Need 2 years,N/A,12.46,4.73,No,No harsh condition recovery
MINDACORP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.43,No,No harsh condition recovery
PARKHOTELS,Need 2 quarters,N/A,Need 2 years,N/A,24.65,5.35,No,No harsh condition recovery
VENKEYS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
SAPPHIRE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.1,No,No harsh condition recovery
GABRIEL,Need 2 quarters,N/A,Need 2 years,N/A,5.51,Need 2 years,No,No harsh condition recovery
HINDZINC,Need 2 quarters,N/A,Need 2 years,N/A,5.49,17.8,No,No harsh condition recovery
NATIONALUM,Need 2 quarters,N/A,Need 2 years,N/A,13.0,27.68,No,No harsh condition recovery
PGEL,Need 2 quarters,N/A,Need 2 years,N/A,97.31,77.35,No,No harsh condition recovery
MAPMYINDIA,Need 2 quarters,N/A,Need 2 years,N/A,25.22,22.16,No,No harsh condition recovery
BANKBARODA,3.75,"Dec 2024, Mar 2025",10.58,"Mar 2024, Mar 2025",Not ascending,8.08,No,No harsh condition recovery
RBA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.68,No,No harsh condition recovery
HINDCOPPER,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.95,No,No harsh condition recovery
WELCORP,Need 2 quarters,N/A,Need 2 years,N/A,9.45,Not ascending,No,No harsh condition recovery
ENDURANCE,Need 2 quarters,N/A,Need 2 years,N/A,3.64,12.89,No,No harsh condition recovery
CENTUM,Need 2 quarters,N/A,Need 2 years,N/A,31.32,5.87,No,No harsh condition recovery
SESHAPAPER,Need 2 quarters,N/A,Need 2 years,N/A,16.47,Not ascending,No,No harsh condition recovery
CAPLIPOINT,Need 2 quarters,N/A,Need 2 years,N/A,1.83,14.34,No,No harsh condition recovery
STANLEY,Need 2 quarters,N/A,Need 2 years,N/A,6.5,0.23,No,No harsh condition recovery
BECTORFOOD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.93,No,No harsh condition recovery
SKIPPER,Need 2 quarters,N/A,Need 2 years,N/A,13.48,40.89,No,No harsh condition recovery
EMSLIMITED,Need 2 quarters,N/A,Need 2 years,N/A,5.15,17.28,No,No harsh condition recovery
AEROFLEX,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,18.24,No,No harsh condition recovery
HINDOILEXP,Need 2 quarters,N/A,Need 2 years,N/A,54.74,Not ascending,No,No harsh condition recovery
GOPAL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.71,No,No harsh condition recovery
IKIO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.96,No,No harsh condition recovery
ABDL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.77,No,No harsh condition recovery
WIPRO,Need 2 quarters,N/A,Need 2 years,N/A,0.83,Not ascending,No,No harsh condition recovery
FLAIR,Need 2 quarters,N/A,Need 2 years,N/A,12.45,10.32,No,No harsh condition recovery
AXISBANK,10.77,"Dec 2024, Mar 2025",6.41,"Mar 2024, Mar 2025",0.9,12.96,Yes,None
HUHTAMAKI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.92,No,No harsh condition recovery
MAHSCOOTER,Need 2 quarters,N/A,Need 2 years,N/A,16.67,Not ascending,No,No harsh condition recovery
KEI,Need 2 quarters,N/A,Need 2 years,N/A,17.92,20.14,No,No harsh condition recovery
TIINDIA,Need 2 quarters,N/A,Need 2 years,N/A,7.02,15.25,No,No harsh condition recovery
JKIL,Need 2 quarters,N/A,Need 2 years,N/A,9.82,16.68,No,No harsh condition recovery
INDUSTOWER,Need 2 quarters,N/A,Need 2 years,N/A,2.39,5.32,No,No harsh condition recovery
INDGN,Need 2 quarters,N/A,Need 2 years,N/A,5.0,9.61,No,No harsh condition recovery
NUVOCO,Need 2 quarters,N/A,Need 2 years,N/A,26.28,Not ascending,No,No harsh condition recovery
YATHARTH,Need 2 quarters,N/A,Need 2 years,N/A,0.46,30.08,No,No harsh condition recovery
AARTIPHARM,Need 2 quarters,N/A,Need 2 years,N/A,4.83,14.14,No,No harsh condition recovery
ISGEC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.29,No,No harsh condition recovery
SASKEN,Need 2 quarters,N/A,Need 2 years,N/A,2.07,35.71,No,No harsh condition recovery
USHAMART,Need 2 quarters,N/A,Need 2 years,N/A,4.07,7.72,No,No harsh condition recovery
KICL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,14.93,No,No harsh condition recovery
LUMAXTECH,Need 2 quarters,N/A,Need 2 years,N/A,7.6,15.56,No,No harsh condition recovery
THANGAMAYL,Need 2 quarters,N/A,Need 2 years,N/A,22.0,28.46,No,No harsh condition recovery
NIACL,Need 2 quarters,N/A,Need 2 years,N/A,8.98,Not ascending,No,No harsh condition recovery
IGL,Need 2 quarters,N/A,Need 2 years,N/A,5.11,6.63,No,No harsh condition recovery
INFIBEAM,Need 2 quarters,N/A,Need 2 years,N/A,5.21,12.24,No,No harsh condition recovery
ATFL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No financial data tables with valid data found for ticker ATFL
BRITANNIA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,7.0,No,No harsh condition recovery
SEPC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.94,No,No harsh condition recovery
BAJFINANCE,5.52,"Dec 2024, Mar 2025",16.11,"Mar 2024, Mar 2025",2.34,26.76,No,No harsh condition recovery
NETWORK18,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
TATACONSUM,Need 2 quarters,N/A,Need 2 years,N/A,3.69,15.86,No,No harsh condition recovery
RKFORGE,Need 2 quarters,N/A,Need 2 years,N/A,1.9,3.92,No,No harsh condition recovery
IMFA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
FIRSTCRY,Need 2 quarters,N/A,Need 2 years,N/A,14.02,14.12,No,No harsh condition recovery
GILLETTE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.08,No,No harsh condition recovery
HSCL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.23,No,No harsh condition recovery
BBL,Need 2 quarters,N/A,Need 2 years,N/A,20.43,1.6,No,No harsh condition recovery
SWANENERGY,Need 2 quarters,N/A,Need 2 years,N/A,84.88,9.23,No,No harsh condition recovery
TIPSMUSIC,Need 2 quarters,N/A,Need 2 years,N/A,0.0,28.51,No,No harsh condition recovery
STYRENIX,Need 2 quarters,N/A,Need 2 years,N/A,36.03,34.2,No,No harsh condition recovery
VIPIND,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
FINOPB,4.35,"Dec 2024, Mar 2025",8.14,"Mar 2024, Mar 2025",8.16,30.0,No,No harsh condition recovery
VISHNU,Need 2 quarters,N/A,Need 2 years,N/A,5.93,19.29,No,No harsh condition recovery
EMCURE,Need 2 quarters,N/A,Need 2 years,N/A,7.79,18.59,No,No harsh condition recovery
AARTIIND,Need 2 quarters,N/A,Need 2 years,N/A,5.75,14.11,No,No harsh condition recovery
JSWENERGY,Need 2 quarters,N/A,Need 2 years,N/A,30.75,2.25,No,No harsh condition recovery
EIDPARRY,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,3.2,No,No harsh condition recovery
SUPRAJIT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.91,No,No harsh condition recovery
NFL,Need 2 quarters,N/A,Need 2 years,N/A,33.39,Not ascending,No,No harsh condition recovery
JKPAPER,Need 2 quarters,N/A,Need 2 years,N/A,3.55,0.89,No,No harsh condition recovery
ORIANA,Need 2 quarters,N/A,Need 2 years,N/A,12.85,77.02,No,No harsh condition recovery
HGS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
NAVNETEDUL,Need 2 quarters,N/A,Need 2 years,N/A,53.9,2.17,No,No harsh condition recovery
BHARATRAS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.64,No,No harsh condition recovery
GREENPANEL,Need 2 quarters,N/A,Need 2 years,N/A,2.85,Not ascending,No,No harsh condition recovery
HONASA,Need 2 quarters,N/A,Need 2 years,N/A,3.09,7.66,No,No harsh condition recovery
EPIGRAL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,32.19,No,No harsh condition recovery
AUTOAXLES,Need 2 quarters,N/A,Need 2 years,N/A,5.46,Not ascending,No,No harsh condition recovery
PFOCUS,Need 2 quarters,N/A,Need 2 years,N/A,1.34,Not ascending,No,No harsh condition recovery
NCC,Need 2 quarters,N/A,Need 2 years,N/A,14.71,6.5,No,No harsh condition recovery
ANGELONE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,22.64,No,No harsh condition recovery
DABUR,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.28,No,No harsh condition recovery
RPSGVENT,Need 2 quarters,N/A,Need 2 years,N/A,6.54,20.84,No,No harsh condition recovery
MPSLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,33.39,No,No harsh condition recovery
BAJAJFINSV,Need 2 quarters,N/A,Need 2 years,N/A,14.21,21.23,No,No harsh condition recovery
SSWL,Need 2 quarters,N/A,Need 2 years,N/A,14.79,1.65,No,No harsh condition recovery
MTARTECH,Need 2 quarters,N/A,Need 2 years,N/A,5.17,16.35,No,No harsh condition recovery
UNICHEMLAB,Need 2 quarters,N/A,Need 2 years,N/A,10.13,23.81,No,No harsh condition recovery
EXPLEOSOL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.22,No,No harsh condition recovery
TITAN,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,18.35,No,No harsh condition recovery
GRWRHITECH,Need 2 quarters,N/A,Need 2 years,N/A,17.6,25.76,No,No harsh condition recovery
MSTCLTD,Need 2 quarters,N/A,Need 2 years,N/A,12.5,Not ascending,No,No harsh condition recovery
MOL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,32.82,No,No harsh condition recovery
DIXON,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,119.66,No,No harsh condition recovery
BSE,Need 2 quarters,N/A,Need 2 years,N/A,11.15,101.76,No,No harsh condition recovery
JUBLPHARMA,Need 2 quarters,N/A,Need 2 years,N/A,5.87,7.92,No,No harsh condition recovery
SBIN,4.59,"Dec 2024, Mar 2025",15.79,"Mar 2024, Mar 2025",1.88,11.78,No,No harsh condition recovery
VENUSPIPES,Need 2 quarters,N/A,Need 2 years,N/A,0.87,15.21,No,No harsh condition recovery
HCC,Need 2 quarters,N/A,Need 2 years,N/A,36.44,Not ascending,No,No harsh condition recovery
ESAFSFB,-13.27,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,1.15,No,No harsh condition recovery
JMFINANCIL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
BARBEQUE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
MOBIKWIK,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,33.71,No,No harsh condition recovery
OMAXE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
MASTEK,Need 2 quarters,N/A,Need 2 years,N/A,4.02,13.09,No,No harsh condition recovery
EKC,Need 2 quarters,N/A,Need 2 years,N/A,14.99,22.57,No,No harsh condition recovery
SYNGENE,Need 2 quarters,N/A,Need 2 years,N/A,7.84,4.39,No,No harsh condition recovery
JSFB,10.81,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",1.87,17.37,No,No harsh condition recovery
SCILAL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.88,No,No harsh condition recovery
RPEL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,50.38,No,No harsh condition recovery
COALINDIA,Need 2 quarters,N/A,Need 2 years,N/A,2.62,0.73,No,No harsh condition recovery
OLAELEC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.8,No,No harsh condition recovery
MOLDTKPAC,Need 2 quarters,N/A,Need 2 years,N/A,11.25,31.73,No,No harsh condition recovery
BFUTILITIE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
MUTHOOTMF,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.81,No,No harsh condition recovery
ISMTLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
BDL,Need 2 quarters,N/A,Need 2 years,N/A,52.66,2.24,No,No harsh condition recovery
MANINFRA,Need 2 quarters,N/A,Need 2 years,N/A,21.49,Not ascending,No,No harsh condition recovery
NITINSPIN,Need 2 quarters,N/A,Need 2 years,N/A,0.24,13.92,No,No harsh condition recovery
TATAINVEST,Need 2 quarters,N/A,Need 2 years,N/A,300.0,Not ascending,No,No harsh condition recovery
BOROLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,19.4,No,No harsh condition recovery
NBCC,Need 2 quarters,N/A,Need 2 years,N/A,14.97,9.79,No,No harsh condition recovery
SCHNEIDER,Need 2 quarters,N/A,Need 2 years,N/A,42.83,14.27,No,No harsh condition recovery
MONARCH,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,20.14,No,No harsh condition recovery
FINCABLES,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,2.21,No,No harsh condition recovery
NATCOPHARM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.95,No,No harsh condition recovery
